Dataset,Method,Success_Rate,Final_Score,Rank,silhouette_mean,silhouette_mean_penalized,silhouette_percentile_75,silhouette_percentile_75_penalized,silhouette_max,silhouette_max_penalized,calinski_harabasz_mean,calinski_harabasz_mean_penalized,calinski_harabasz_percentile_75,calinski_harabasz_percentile_75_penalized,calinski_harabasz_max,calinski_harabasz_max_penalized,davies_bouldin_mean,davies_bouldin_mean_penalized,davies_bouldin_percentile_75,davies_bouldin_percentile_75_penalized,davies_bouldin_max,davies_bouldin_max_penalized,sse_mean,sse_mean_penalized,sse_percentile_75,sse_percentile_75_penalized,sse_max,sse_max_penalized,quantization_mean,quantization_mean_penalized,quantization_percentile_75,quantization_percentile_75_penalized,quantization_max,quantization_max_penalized,silhouette_mean_normalized,silhouette_percentile_75_normalized,silhouette_max_normalized,calinski_harabasz_mean_normalized,calinski_harabasz_percentile_75_normalized,calinski_harabasz_max_normalized,davies_bouldin_mean_normalized,davies_bouldin_percentile_75_normalized,davies_bouldin_max_normalized,sse_mean_normalized,sse_percentile_75_normalized,sse_max_normalized,quantization_mean_normalized,quantization_percentile_75_normalized,quantization_max_normalized
Dermitology,K-Means++,1.0,0.916808015242932,2.0,0.156486015,0.156486015,0.1803586807,0.1803586807,0.1900884421,0.1900884421,88.3164618886,88.3164618886,88.3164618886,88.3164618886,88.3164618886,88.3164618886,1.6351052636,1.6351052636,1.6351052636,1.6351052636,1.6351052636,1.6351052636,6543.5247155621,6543.5247155621,6866.3551656799,6866.3551656799,7104.0265864724,7104.0265864724,3.9115184416,3.9115184416,3.9257369951,3.9257369951,4.015050203,4.015050203,0.8437333076001692,0.8097236550577013,0.7633659085949768,1.0,1.0,1.0,0.8479871857590662,0.8479871857590662,0.8479871857590662,1.0,0.974417106896071,1.0,0.9554784562312416,0.9885292676110992,1.0
Dermitology,PSO,0.2,0.1157112948669554,5.0,0.0852183764,0.01704367528,0.0857672799,0.01715345598,0.0863161834,0.01726323668,0.579290467,0.1158580934,0.579290467,0.1158580934,0.579290467,0.1158580934,1.2724723032,6.362361516,1.2724723032,6.362361516,1.2724723032,6.362361516,9074.0484642671,45370.2423213355,9254.5618248273,46272.8091241365,9435.0751853875,47175.3759269375,3.7976392892,18.988196446,3.8528480762,19.264240381,3.9080568633,19.5402843165,0.0918952183532671,0.0770107599982959,0.0693264998541346,0.0013118516177215,0.0013118516177215,0.0013118516177215,0.2179298217199891,0.2179298217199891,0.2179298217199891,0.1442250334308879,0.1445923440159752,0.1505875988667203,0.1968260446814212,0.2014460907800692,0.2054755262496183
Dermitology,PSO Hybrid,0.2,0.2043382419502025,4.0,0.2263541875,0.0452708375,0.2285685735,0.0457137147,0.2307829595,0.0461565919,88.4222834193,17.684456683860002,88.4222834193,17.684456683860002,88.4222834193,17.684456683860002,1.5930590085,7.9652950425,1.5930590085,7.9652950425,1.5930590085,7.9652950425,5669.6811193977,28348.405596988498,5710.9326413376,28554.663206688,5752.1841632775,28760.9208163875,3.6951359802,18.475679901,3.6964260949,18.4821304745,3.6977162096,18.488581048,0.2440889907107978,0.2052325732783483,0.1853577646496532,0.2002396416895266,0.2002396416895266,0.2002396416895266,0.1740736913701084,0.1740736913701084,0.1740736913701084,0.230825140876961,0.2343117790265382,0.2470027518181769,0.2022860117801518,0.2099707023470185,0.2171637830169951
Dermitology,APSO,1.0,0.8154207789433094,3.0,0.1349357449,0.1349357449,0.1630736177,0.1630736177,0.1925524559,0.1925524559,67.18880946,67.18880946,67.18880946,67.18880946,67.18880946,67.18880946,1.3865483109,1.3865483109,1.3865483109,1.3865483109,1.3865483109,1.3865483109,9589.1165827254,9589.1165827254,10426.7368884831,10426.7368884831,11572.8834572813,11572.8834572813,3.9127695847,3.9127695847,4.052299321,4.052299321,4.2372545196,4.2372545196,0.7275396613427062,0.7321220428927558,0.7732610085413377,0.7607733374186814,0.7607733374186814,0.7607733374186814,1.0,1.0,1.0,0.6823907769929638,0.641686273186095,0.6138510434927751,0.9551729334418632,0.9576552986817236,0.9475593652512108
Dermitology,APSO Hybrid,1.0,0.948205129276984,1.0,0.1854685759,0.1854685759,0.2227410297,0.2227410297,0.2490135333,0.2490135333,88.2502063158,88.2502063158,88.2502063158,88.2502063158,88.2502063158,88.2502063158,1.632618539,1.632618539,1.632618539,1.632618539,1.632618539,1.632618539,7359.942328763,7359.942328763,6690.6939354627,6690.6939354627,13029.0993419896,13029.0993419896,3.7373716021,3.7373716021,3.8807059166,3.8807059166,4.0419888374,4.0419888374,1.0,1.0,1.0,0.9992497936241652,0.9992497936241652,0.9992497936241652,0.8492787983096645,0.8492787983096645,0.8492787983096645,0.8890728246591958,1.0,0.5452431054522594,1.0,1.0,0.9933353021288084
Iris,K-Means++,1.0,0.9905031010128912,1.0,0.4221074074,0.4221074074,0.4221052568,0.4221052568,0.4221267624,0.4221267624,314.6355918889,314.6355918889,314.6355918889,314.6355918889,314.6355918889,314.6355918889,0.877346761,0.877346761,0.877346761,0.877346761,0.877346761,0.877346761,22.0245718908,22.0245718908,22.0243630757,22.0243630757,22.0264512266,22.0264512266,0.3016533035,0.3016533035,0.3016646187,0.3016646187,0.3016646187,0.3016646187,0.999954148844082,0.9999490541659152,0.8528460156115525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979798507328462,0.9980040589360636,0.9982642704263548
Iris,PSO,0.8,0.7742698090379309,5.0,0.4707610039,0.37660880312,0.5027283192,0.4021826553600001,0.505522017,0.4044176136,314.6355918889,251.70847351112,314.6355918889,251.70847351112,314.6355918889,251.70847351112,0.877346761,1.09668345125,0.877346761,1.09668345125,0.877346761,1.09668345125,33.5565812706,41.94572658825,40.1566598863,50.195824857875,42.5665673048,53.208209131,0.2828551969,0.353568996125,0.3050672775,0.381334096875,0.3106127957,0.388265994625,0.8921699277695452,0.952753275043241,0.817067244068893,0.8,0.8,0.8,0.8,0.8,0.8,0.5250730809123619,0.4387688246594217,0.4139671600743092,0.8514432037292364,0.789498018580508,0.7756049066075226
Iris,PSO Hybrid,0.9,0.8912763577102528,4.0,0.4221267624,0.37991408616,0.4221267624,0.37991408616,0.4221267624,0.37991408616,314.6355918889,283.17203270001005,314.6355918889,283.17203270001005,314.6355918889,283.17203270001005,0.877346761,0.9748297344444444,0.877346761,0.9748297344444444,0.877346761,0.9748297344444444,22.0790084511,24.532231612333334,22.087541304,24.54171256,22.1035460231,24.559495581222222,0.3011311777,0.3345901974444444,0.3011873268,0.3346525853333333,0.3012702356,0.3347447062222222,0.9000000000000001,0.9000000000000001,0.7675614140503974,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.9,0.9,0.9,0.8977810188180095,0.8974256797220023,0.8968608965829515,0.8997392066454234,0.8996270373949878,0.899613959242378
Iris,APSO,1.0,0.9208422584196114,3.0,0.4006329953,0.4006329953,0.4215036086,0.4215036086,0.4949624606,0.4949624606,314.6355918889,314.6355918889,314.6355918889,314.6355918889,314.6355918889,314.6355918889,0.877346761,0.877346761,0.877346761,0.877346761,0.877346761,0.877346761,31.2136130074,31.2136130074,39.3980115831,39.3980115831,58.044972143,58.044972143,0.3125906619,0.3125906619,0.3133518288,0.3133518288,0.3379191706,0.3379191706,0.9490821975422804,0.9985237756628907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7056078988862489,0.5590221991088371,0.3794721646576981,0.9630611387115144,0.9607810972507718,0.8911628481015217
Iris,APSO Hybrid,1.0,0.990269867642266,2.0,0.4221267624,0.4221267624,0.4221267624,0.4221267624,0.4221267624,0.4221267624,314.6355918889,314.6355918889,314.6355918889,314.6355918889,314.6355918889,314.6355918889,0.877346761,0.877346761,0.877346761,0.877346761,0.877346761,0.877346761,22.0960520344,22.0960520344,22.1012174277,22.1012174277,22.1154397791,22.1154397791,0.3010439188,0.3010439188,0.3010625139,0.3010625139,0.3011410105,0.3011410105,1.0,1.0,0.8528460156115525,1.0,1.0,1.0,1.0,1.0,1.0,0.9967650264631566,0.996522619070582,0.9959761798368532,1.0,1.0,1.0
Wisconsin Breast Cancer,K-Means++,1.0,0.9988166253759104,1.0,0.3845494883,0.3845494883,0.3845494883,0.3845494883,0.3845494883,0.3845494883,364.0930516257,364.0930516257,364.0930516257,364.0930516257,364.0930516257,364.0930516257,1.1363352911,1.1363352911,1.1363352911,1.1363352911,1.1363352911,1.1363352911,215.8383197204,215.8383197204,215.8383197204,215.8383197204,215.8383197204,215.8383197204,0.5953726408,0.5953726408,0.5953726408,0.5953726408,0.5953726408,0.5953726408,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9914886544111416,0.9922629420898308,0.9924288047668044
Wisconsin Breast Cancer,PSO,0.4,0.3472017426561313,5.0,0.2106317795,0.0842527118,0.3397272725,0.135890909,0.3831099374,0.15324397496,344.2463896654,137.69855586616,344.2463896654,137.69855586616,344.2463896654,137.69855586616,1.1868267327,2.9670668317499995,1.1868267327,2.9670668317499995,1.1868267327,2.9670668317499995,311.9816614031,779.95415350775,384.6574667616,961.643666904,386.0232249852,965.058062463,0.6097817054,1.5244542634999998,0.6120098293,1.53002457325,0.6238590636,1.559647659,0.2190945882478242,0.3533769076139998,0.3985026105156307,0.3781960552428196,0.3781960552428196,0.3781960552428196,0.3829827083570545,0.3829827083570545,0.3829827083570545,0.2767320601469882,0.2244472949271208,0.2236531957150248,0.387223961147064,0.3861155033249725,0.3788451544747261
Wisconsin Breast Cancer,PSO Hybrid,0.8,0.7919134991318505,3.0,0.3744634973,0.29957079784,0.3765225066,0.30121800528,0.3787437172,0.30299497376,363.2114365572,290.56914924576,363.2114365572,290.56914924576,363.2114365572,290.56914924576,1.1432213102,1.4290266377499998,1.1432213102,1.4290266377499998,1.1432213102,1.4290266377499998,219.0281509803,273.785188725375,220.2431441652,275.3039302065,220.8624919793,276.07811497412496,0.591016628,0.7387707849999999,0.5914636172,0.7393295214999999,0.5920220683,0.740027585375,0.7790175437869644,0.7833010170202324,0.7879219267706408,0.7980628796631772,0.7980628796631772,0.7980628796631772,0.7951813220844911,0.7951813220844911,0.7951813220844911,0.7883491460047547,0.7840001396220678,0.781801627921971,0.7990370362303918,0.7990567007271874,0.7984363961251341
Wisconsin Breast Cancer,APSO,1.0,0.6866943132740159,4.0,0.1620615154,0.1620615154,0.3440051002,0.3440051002,0.3643924347,0.3643924347,154.9601164124,154.9601164124,154.9601164124,154.9601164124,154.9601164124,154.9601164124,1.5031521909,1.5031521909,1.5031521909,1.5031521909,1.5031521909,1.5031521909,332.5774625852,332.5774625852,398.5518863048,398.5518863048,445.8855893265,445.8855893265,0.5904977739,0.5904977739,0.5961214609,0.5961214609,0.6021902954,0.6021902954,0.4214321441862649,0.8945665269787852,0.947582679958542,0.4256058052206506,0.4256058052206506,0.4256058052206506,0.7559682232972221,0.7559682232972221,0.7559682232972221,0.6489866091425432,0.5415563873541264,0.4840665966496447,0.9996739100323304,0.9910165074548486,0.981193092637806
Wisconsin Breast Cancer,APSO Hybrid,1.0,0.9875901915905932,2.0,0.3724347627,0.3724347627,0.3749015053,0.3749015053,0.3756806924,0.3756806924,362.6960784257,362.6960784257,362.6960784257,362.6960784257,362.6960784257,362.6960784257,1.1457828272,1.1457828272,1.1457828272,1.1457828272,1.1457828272,1.1457828272,219.771796774,219.771796774,220.0993205347,220.0993205347,222.5554884653,222.5554884653,0.5903052185,0.5903052185,0.5907662082,0.5907662082,0.5908649583,0.5908649583,0.9684963159005716,0.9749109456817862,0.9769371792972426,0.9961631423786792,0.9961631423786792,0.9961631423786792,0.9917545141402692,0.9917545141402692,0.9917545141402692,0.9821019934707776,0.9806405544372035,0.9698180045290264,1.0,1.0,1.0
Wine,K-Means++,1.0,0.980954807937556,1.0,0.183249436,0.183249436,0.1968725434,0.1968725434,0.1969402146,0.1969402146,286.6850664609,286.6850664609,286.6850664609,286.6850664609,286.6850664609,286.6850664609,1.4399928902,1.4399928902,1.4399928902,1.4399928902,1.4399928902,1.4399928902,10071.0300723877,10071.0300723877,10323.1986045148,10323.1986045148,10449.8893796636,10449.8893796636,2.4282467354,2.4282467354,2.5276710241,2.5276710241,2.5292919948,2.5292919948,1.0,1.0,1.0,1.0,1.0,1.0,0.9894978743972134,0.9894978743972134,0.9894978743972134,1.0,1.0,1.0,0.8964706774912689,0.8800239527183019,0.8916209652884797
Wine,PSO,0.8,0.5221669845455326,5.0,0.0535878397,0.04287027176,0.0858202207,0.06865617656,0.0990573869,0.07924590952,181.5369554511,145.22956436088,181.5369554511,145.22956436088,181.5369554511,145.22956436088,2.051863464,2.56482933,2.051863464,2.56482933,2.051863464,2.56482933,13592.7783176646,16990.97289708075,12989.8327939466,16237.290992433249,23082.5565892013,28853.195736501624,2.1824002637,2.728000329625,2.2856227074,2.85702838425,2.3136193435,2.892024179375,0.2339449042560764,0.3487341371950803,0.4023856157613835,0.5065822442505472,0.5065822442505472,0.5065822442505472,0.5555418005142665,0.5555418005142665,0.5555418005142665,0.592728275972827,0.6357709921763133,0.362174418220289,0.7979661777750728,0.7785750600388003,0.7797893897233489
Wine,PSO Hybrid,0.8,0.7575582811429402,3.0,0.1499466545,0.1199573236,0.1868022447,0.14944179576,0.1874488768,0.14995910144,286.047254175,228.83780334,286.047254175,228.83780334,286.047254175,228.83780334,1.4201615355,1.7752019193749995,1.4201615355,1.7752019193749995,1.4201615355,1.7752019193749995,10644.7481040438,13305.93513005475,12364.6452896439,15455.806612054876,14588.7030444171,18235.878805521374,2.2541869897,2.817733737125,2.3594166213,2.949270776625,2.3671456137,2.958932017125,0.6546122390248449,0.7590789105435005,0.7614447955415196,0.7982201729758059,0.7982201729758059,0.7982201729758059,0.8026523002530652,0.8026523002530652,0.8026523002530652,0.7568825470702758,0.6679171694904065,0.5730400761656538,0.772554186834237,0.7542240825867833,0.7621566689765318
Wine,APSO,1.0,0.6841089023295225,4.0,0.0361327677,0.0361327677,0.0561543896,0.0561543896,0.1154941787,0.1154941787,216.5033841031,216.5033841031,216.5033841031,216.5033841031,216.5033841031,216.5033841031,1.9185550965,1.9185550965,1.9185550965,1.9185550965,1.9185550965,1.9185550965,12796.5099560519,12796.5099560519,13843.9663441125,13843.9663441125,14674.2336993539,14674.2336993539,2.176851996,2.176851996,2.2244110458,2.2244110458,2.2551697699,2.2551697699,0.1971780567990397,0.2852322047056969,0.5864428396941536,0.7551958906538585,0.7551958906538585,0.7551958906538585,0.7426786473838438,0.7426786473838438,0.7426786473838438,0.7870138113419568,0.7456821511925305,0.7121250481463781,1.0,1.0,1.0
Wine,APSO Hybrid,1.0,0.9321097753515442,2.0,0.1052822221,0.1052822221,0.1771402114,0.1771402114,0.1862164279,0.1862164279,285.3098417265,285.3098417265,285.3098417265,285.3098417265,285.3098417265,285.3098417265,1.424869904,1.424869904,1.424869904,1.424869904,1.424869904,1.424869904,10631.9849017809,10631.9849017809,11764.962813439,11764.962813439,12504.5501374327,12504.5501374327,2.2451753186,2.2451753186,2.3305431797,2.3305431797,2.4011083431,2.4011083431,0.5745295832724965,0.8997710312508718,0.945548009471906,0.9952030123111156,0.9952030123111156,0.9952030123111156,1.0,1.0,1.0,0.94723893660729,0.8774527185689625,0.8356869511348178,0.9695688251897392,0.954460344341845,0.9392203298033678
MNIST Fashion,K-Means++,1.0,0.8834058085401735,1.0,0.17379295825958252,0.17379295825958252,0.181891866,0.181891866,0.19458676874637604,0.19458676874637604,52.9362200615,52.9362200615,52.9362200615,52.9362200615,52.9362200615,52.9362200615,1.6457699695,1.6457699695,1.6457699695,1.6457699695,1.6457699695,1.6457699695,7484.4817001343,7484.4817001343,7564.3964519501,7564.3964519501,7807.376739502,7807.376739502,4.401732672,4.401732672,4.463338911,4.463338911,4.8551261039,4.8551261039,1.0,1.0,0.9805339358979875,1.0,1.0,1.0,0.42311218773274617,0.42311218773274617,0.42311218773274617,1.0,1.0,1.0,1.0,1.0,1.0
MNIST Fashion,PSO,0.2,0.13025315974112073,5.0,0.15408441424369812,0.030816882848739624,0.1804047022,0.03608094044,0.20672498643398285,0.041344997286796574,1.5140312586,0.30280625172000003,1.5140312586,0.30280625172000003,1.5140312586,0.30280625172000003,0.7917406867,3.9587034334999998,0.7917406867,3.9587034334999998,0.7917406867,3.9587034334999998,18062.2048778534,90311.024389267,21440.3861303329,107201.93065166449,24818.5673828125,124092.8369140625,3.3110911426,16.555455713,4.0667599941,20.3337999705,4.8224288455,24.1121442275,0.17731951373260232,0.19836478251314438,0.20833982279727473,0.005720209175649625,0.005720209175649625,0.005720209175649625,0.17590237409735482,0.17590237409735482,0.17590237409735482,0.08287450785492133,0.07056212892778391,0.06291561167957511,0.26587807356722803,0.21950343356752558,0.20135604938704327
MNIST Fashion,PSO Hybrid,0.4,0.35034806929824164,4.0,0.16513170301914215,0.06605268120765687,0.169962246,0.06798489840000001,0.1811339259147644,0.07245357036590576,52.0715372351,20.82861489404,52.0715372351,20.82861489404,52.0715372351,20.82861489404,1.457564238,3.643910595,1.457564238,3.643910595,1.457564238,3.643910595,7239.8023414612,18099.505853652998,7351.952331543,18379.8808288575,7414.5819091797,18536.454772949248,4.6057926711,11.514481677749998,4.6878372826,11.7195932065,4.7286341533,11.82158538325,0.38006534826916605,0.37376546788518844,0.36509771439465594,0.3934662291686453,0.3934662291686453,0.3934662291686453,0.19109835824608096,0.19109835824608096,0.19109835824608096,0.4135185656808259,0.41155851457282305,0.4211903967146683,0.38227796918602813,0.38084418395380076,0.41070008349127407
MNIST Fashion,APSO,1.0,0.5659945819075012,3.0,0.07720600068569183,0.07720600068569183,0.0930709913,0.0930709913,0.11150354892015457,0.11150354892015457,1.9576418097,1.9576418097,1.9576418097,1.9576418097,1.9576418097,1.9576418097,0.6963453323,0.6963453323,0.6963453323,0.6963453323,0.6963453323,0.6963453323,12476.1985468852,12476.1985468852,12733.9016356882,12733.9016356882,14734.3715162236,14734.3715162236,4.6504549464,4.6504549464,4.7668799129,4.7668799129,4.8852331704,4.8852331704,0.44424124808540616,0.5116830859275477,0.5618728056056954,0.03698114084129278,0.03698114084129278,0.03698114084129278,1.0,1.0,1.0,0.5999008169041099,0.5940360361155942,0.5298751107847063,0.946516571546932,0.9363229182512935,0.9938371280448963
MNIST Fashion,APSO Hybrid,1.0,0.6933097181301531,2.0,0.1607171893119812,0.1607171893119812,0.1718578897,0.1718578897,0.19844980537891388,0.19844980537891388,1.5553145215,1.5553145215,1.5553145215,1.5553145215,1.5553145215,1.5553145215,0.7811635746,0.7811635746,0.7811635746,0.7811635746,0.7811635746,0.7811635746,8476.4117913532,8476.4117913532,7614.6396414425,7614.6396414425,14995.9586181641,14995.9586181641,4.688312199,4.688312199,4.7643614402,4.7643614402,4.9651968896,4.9651968896,0.9247623777249309,0.9448354864862399,1.0,0.029380913856204196,0.029380913856204196,0.029380913856204196,0.8914206383171005,0.8914206383171005,0.8914206383171005,0.8829775952802611,0.9934017639890728,0.5206320541619252,0.938873625553109,0.9368178646858993,0.9778315365639273
